rssid,url,db_title,found_title
1236,https://www.telecompaper.com/news/qvantel-to-acquire-optiva-in-leveraged-buyout-deal--1549357,Qvantel to acquire Optiva in leveraged buyout deal,Follow Telecompaper on
1250,https://article.wn.com/view/2025/09/29/Renewable_Energy_Key_for_energy_efficiency_sustainability_in/,Renewable Energy... Key for energy efficiency_ sustainability in future housing projects,"Renewable Energy... Key for energy efficiency, sustainability in future housing projects"
1250,https://article.wn.com/view/2025/09/28/Turkiye_US_Formalize_Agreement_on_Nuclear_Energy/,Türkiye_ US Formalize Agreement on Nuclear Energy,"Türkiye, US Formalize Agreement on Nuclear Energy"
9973,https://nabd.com/s/161561713-77537e/%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-%D8%A7%D9%84%D8%A3%D8%B3%D8%A8%D9%82-%D8%AC%D9%85%D8%A7%D9%84-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D9%86%D8%A7%D8%B5%D8%B1-%D9%81%D9%8A-%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D9%85%D8%B3%D8%B1%D8%A8-%D9%85%D8%B9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D9%85%D9%88%D8%B1%D9%8A%D8%AA%D8%A7%D9%86%D9%8A-%D8%A7%D9%84%D8%A3%D8%B3%D8%A8%D9%82-%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%A7%D8%B1-%D9%88%D9%84%D8%AF-%D8%AF%D8%A7%D8%AF%D8%A7%D9%87-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D9%88%D9%86-%D9%84%D8%A7-%D9%8A%D8%AA%D9%83%D9%84%D9%85%D9%88%D9%86-%D8%B9%D9%86-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%A3%D9%88-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D8%A3%D9%88-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%A5%D9%84%D9%84%D9%8A-%D8%A8%D9%8A%D9%87%D8%AF%D8%AF%D9%88%D8%A7-%D8%A8%D8%A7%D9%84%D8%AD%D8%B1%D8%A8..-%D9%83%D9%84-%D9%83%D9%84%D8%A7%D9%85%D9%87%D9%85-%D8%B9%D9%86-%D8%AA%D9%87%D8%AF%D9%8A%D8%AF-%D9%85%D8%B5%D8%B1,"الرئيس المصري الأسبق جمال عبد الناصر في تسجيل مسرب مع الرئيس الموريتاني الأسبق المختار ولد داداه: ""الإسرائيليون لا يتكلمون عن الجزائر أو العراق أو سوريا إللي بيهددوا بالحرب.. كل كلامهم عن تهديد مصر.. كل يوم نتعرض ل100 غارة إسرائيلية.. أليس لي الحق في...قناة العربية","الرئيس المصري الأسبق جمال عبد الناصر في تسجيل مسرب مع الرئيس الموريتاني الأسبق المختار ولد داداه: ""الإسرائيليون لا يتكلمون عن الجزائر أو العراق أو سوريا إللي بيهددوا بالحرب.. كل كلامهم عن تهديد مصر.. "
1156,https://eng.pressbee.net/show4247045.html?title=nayara-energy-adapts-to-eu-sanctions-with-rupee-oil-payments,Nayara Energy Adapts to EU Sanctions With Rupee Oil Payments,Nayara Energy Adapts to EU Sanctions With Rupee Oil Payments ...Middle East
9977,https://nabd.com/s/161546925-6e828c/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D8%AA%D8%AA%D8%AD%D9%88%D9%91%D9%84-%D8%A5%D9%84%D9%89-%D8%AE%D8%B4%D8%A8%D8%A9-%D8%B6%D8%AD%D9%83-%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D8%A8%D9%85%D8%B4%D8%A7%D8%B1%D9%83%D8%A9-%D8%A3%D8%B3%D8%A7%D8%B7%D9%8A%D8%B1-%D8%A7%D9%84%D9%83%D9%88%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-(%D8%B5%D9%88%D8%B1%D8%A9-%D9%88%D9%81%D9%8A%D8%AF%D9%8A%D9%88),الرياض تتحوّل إلى خشبة ضحك عالمي بمشاركة أساطير الكوميديا (صورة وفيديو) صحيفة النهار اللبنانية,الرياض تتحوّل إلى خشبة ضحك عالمي بمشاركة أساطير الكوميديا (صورة وفيديو)
7004,https://nabd.com/s/161540287-a8d59d/%D8%AC%D8%A7%D8%B1%D9%8A-%D8%AD%D8%B5%D8%B1-%D8%A3%D8%B9%D8%AF%D8%A7%D8%AF-%D8%A7%D9%84%D9%85%D8%B5%D8%A7%D8%A8%D9%8A%D9%86..-%D8%A7%D8%B5%D8%B7%D8%AF%D8%A7%D9%85-%D8%A3%D8%AA%D9%88%D8%A8%D9%8A%D8%B3-%D8%A8%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9-%D9%85%D9%84%D8%A7%D9%83%D9%8A-%D8%A8%D8%B7%D8%B1%D9%8A%D9%82-%D8%A8%D9%84%D8%A8%D9%8A%D8%B3-%D8%A7%D9%84%D8%B9%D8%A7%D8%B4%D8%B1-%D9%82%D8%A8%D9%84-%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D8%AF,القاهرة 24 | جاري حصر أعداد المصابين.. اصطدام أتوبيس بسيارة ملاكي بطريق بلبيس العاشر قبل مصنع الحديد,جاري حصر أعداد المصابين.. اصطدام أتوبيس بسيارة ملاكي بطريق بلبيس العاشر قبل مصنع الحديد
3094,https://www.wam.ae/article/blyawhu-%25D8%25AA%25D8%25B1%25D9%258A%25D9%2586%25D8%25AF%25D8%25B2-%25D9%258A%25D8%25B4%25D8%25A7%25D8%25B1%25D9%2583-%25D9%2585%25D8%25A4%25D8%25AA%25D9%2585%25D8%25B1-%25D8%25A8%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B1%25D9%2584%25D9%2585%25D8%25A7%25D9%2586-%25D8%25A7%25D9%2584%25D8%25A3%25D9%2588%25D8%25B1%25D9%2588%25D8%25A8%25D9%258A-%25D9%2588%25D9%258A%25D8%25AF%25D8%25B9%25D9%2588,"""تريندز"" يشارك في مؤتمر بالبرلمان الأوروبي ويدعو لمواجهة الاستقطاب والتطرف",وكالة أنباء الإمارات
6425,https://ar.pressbee.net/show9994653.html?title=%D8%AD%D8%A7%D9%84%D8%A9-%D8%A7%D9%84%D8%B7%D9%82%D8%B3-%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%B1%D9%8A%D8%A7%D8%AD-%D9%85%D8%AD%D9%85%D9%84%D8%A9-%D8%A8%D8%A7%D9%84%D8%A3%D8%AA%D8%B1%D8%A8%D8%A9-%D9%88%D8%B3%D8%AD%D8%A8-%D9%85%D9%85%D8%B7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D9%85,حالة الطقس اليوم في السعودية .. رياح محملة بالأتربة وسحب ممطرة على مناطق مختلفة بالمملكة,حالة الطقس اليوم في السعودية .. رياح محملة بالأتربة وسحب ممطرة على مناطق مختلفة بالمملكة ..اخبار محلية
6676,https://misralbalad.com/%d8%a3%d9%85%d9%87%d8%a7%d8%aa-%d9%85%d8%b5%d8%b1-%d8%aa%d8%b4%d9%8a%d8%af-%d8%a8%d8%a7%d9%84%d9%85%d9%86%d8%a7%d9%87%d8%ac-%d8%a7%d9%84%d9%85%d8%aa%d8%ae%d8%b5%d8%b5%d8%a9-%d9%84%d8%b0%d9%88/,“أمهات مصر”: تشيد بالمناهج المتخصصة لذوي الهمم وتدعو لمشاركة الأسرة في إنجاحها,"""أمهات مصر"": تشيد بالمناهج المتخصصة لذوي الهمم وتدعو لمشاركة الأسرة في إنجاحها"
5308,https://www.masralyoum.net/economy/9083467/%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D8%B0%D9%87%D8%A8-%D8%A7%D9%84%D8%A2%D9%86-%D9%81%D9%89-%D9%85%D8%B5%D8%B1-%D8%B9%D9%8A%D8%A7%D8%B1-21-%D8%AB%D8%A7%D8%A8%D8%AA-%D9%88%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D9%87-%D8%A7%D9%84%D8%B0%D9%87%D8%A8-%D9%8A%D8%AA%D8%B1%D9%82%D8%A8,أسعار الذهب الآن فى مصر.. عيار 21 ثابت والجنيه الذهب يترقب,أسعار الذهب الآن فى مصر .. عيار 21 ثابت والجنيه الذهب يترقب
6339,https://arab.sahafahh.net/story/24067294/%D8%A5%D8%B9%D9%84%D8%A7%D9%86-%D9%86%D8%AA%D8%A7%D8%A6%D8%AC-%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D9%88%D8%A5%D8%B3%D8%A7%D8%A1%D8%A9-%D8%A7%D8%AE%D8%AA%D9%8A%D8%A7%D8%B1-%D9%84%D9%85%D8%B1%D8%AD%D9%84,إعلان نتائج انتقالات وإساءة اختيار لمرحلة البكالوريوس,إعلان نتائج انتقالات وإساءة اختيار لمرحلة البكالوريوس _اخبار البلد
6426,https://ar.pressbee.net/show9992446.html?title=%D8%A7%D9%84%D8%B5%D9%8A%D9%86-%D8%AA%D8%B3%D8%AA%D8%AD%D9%88%D8%B0-%D8%B9%D9%84%D9%89-%D9%86%D8%B5%D9%81-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A%D8%A9-%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A7,الصين تستحوذ على نصف مبيعات السيارات الكهربائية عالمياً,الصين تستحوذ على نصف مبيعات السيارات الكهربائية عالمياً ..أقتصاد
944,https://www.alraeesnews.com/273497,"عبدالحكيم عبدالناصر: طلبت من والدي السفر كمكافأة تفوق دراسي قال ""اللي قدك مجندين الجبهة""","عبدالحكيم عبدالناصر: والدي رفض سفري كمكافأة تفوق دراسي وقال ""اللي قدك مجندين الجبهة"""
3135,https://nabd.com/s/161545060-158327/%D8%A3%D8%A8%D8%B1%D8%B2-%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%AA%D9%8A-%D9%81%D8%A7%D8%AA%D8%AA%D9%83-%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%A1-%D9%85%D9%86-cnbc-%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9.-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%8A%D8%B7%D8%B1%D8%AF-%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D9%81%D8%AF%D8%B1%D8%A7%D9%84%D9%8A-%D8%AC%D9%8A%D8%B1%D9%88%D9%85-%D8%A8%D8%A7%D9%88%D9%84-%D8%B5%D9%88%D8%B1%D9%8A%D8%A7%D9%8B..-%D9%87%D9%84-%D9%8A%D9%81%D8%B9%D9%84%D9%87%D8%A7-%D9%81%D9%8A-%D8%A7%D9%84%D9%88%D8%A7%D9%82%D8%B9%D8%9F.-%D8%A7%D8%B3%D8%AA%D8%B7%D9%84%D8%A7%D8%B9-%D8%AE%D8%A7%D8%B5-%D9%84cnbc-%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%8A%D8%B1%D8%AC%D8%AD-%D8%AE%D9%81%D8%B6-%D8%A7%D9%84%D9%81%D8%A7%D8%A6%D8%AF%D8%A9-%D9%81%D9%8A-%D9%85%D8%B5%D8%B1-%D8%A7%D9%84%D8%AE%D9%85%D9%8A%D8%B3-%D8%A7%D9%84%D9%85%D9%82%D8%A8%D9%84.-%D9%83%D9%8A%D9%81-%D8%AA%D8%B9%D8%A7%D9%85%D9%84%D8%AA-%D8%B4%D8%B1%D9%83%D8%A9-byd,قناة CNBC عربية | أبرز الأخبار التي فاتتك هذا المساء من CNBC عربية. ترامب يطرد رئيس الفدرالي جيروم باول صورياً.. هل يفعلها في الواقع؟. استطلاع خاص لCNBC عربية يرجح خفض الفائدة في مصر الخميس المقبل. كيف تعاملت شركة BYD مع بيع وارن بافيت حصته في الشركة؟. نصيحة مليونير: تخلص من 3 معتقدات مالية قد تمنعك من كسب المزيد من المال. التفاصيل والمزيد,أبرز الأخبار التي فاتتك هذا المساء من CNBC عربية. ترامب يطرد رئيس الفدرالي جيروم باول صورياً.. هل يفعلها في الواقع؟. استطلاع خاص لCNBC عربية يرجح خفض الفائدة في مصر الخميس المقبل. كيف تعاملت شركة BYD 
1203,https://jo24.net/article/545022,أبو زيد: إعلان المقاومة عن موقع الأسرى ضغط على نتنياهو وتسريع لمبادرة ترامب #عاجل,أبو زيد: إعلان المقاومة عن موقع الأسرى ضغط على نتنياهو وتسريع لمبادرة ترامب
4211,https://www.elbalad.news/6713479,"وضع حجر أساس كنيسة ""العذراء"" بطما لإعادة بنائها | صور","وضع حجر أساس كنيسة ""العذراء"" بطما لإعادة بنائها"
11279,https://www.thesun.co.uk/money/36859999/bm-launches-huge-sale/,B&M launches huge furniture sale with up to 70% off including £1 chairs and £15 heaters,Help us verify you as a real visitor
4549,https://www.almasryalyoum.com/news/details/3561778,سحب منخفضة على القاهرة.. بيان هام من الأرصاد يكشف حالة الطقس غدًا الثلاثاء,سحب منخفضة على القاهرة.. بيان مهم من الأرصاد يكشف حالة الطقس غدًا الثلاثاء
3098,https://www.wam.ae/article/15smosd-%25D9%2582%25D8%25AA%25D9%258A%25D9%2584%25D8%25A7%25D9%2586-%25D8%25AC%25D8%25B1%25D8%25AD%25D9%2589-%25D8%25A8%25D8%25A5%25D8%25B7%25D9%2584%25D8%25A7%25D9%2582-%25D9%2586%25D8%25A7%25D8%25B1-%25D9%2583%25D9%2586%25D9%258A%25D8%25B3%25D8%25A9-%25D8%25A8%25D9%2588%25D9%2584%25D8%25A7%25D9%258A%25D8%25A9-%25D9%2585%25D9%258A%25D8%25B4%25D9%258A%25D8%25BA%25D9%2586,قتيلان و 10 جرحى بإطلاق نار في كنيسة بولاية ميشيغن الأمريكية,وكالة أنباء الإمارات
